日期,最高气温,最低气温,天气,风向,风力,日照时数,空气质量指数
2021-01-01 星期五 ,0℃,-11℃,晴,东北风 ,2级,9:24:14,"55
                                       "
2021-01-02 星期六 ,0℃,-9℃,晴,东北风 ,2级,9:24:58,"72
                                       "
2021-01-03 星期日 ,0℃,-7℃,多云,东北风 ,2级,9:25:46,"30
                                       "
2021-01-04 星期一 ,-1℃,-11℃,晴,北风 ,3级,9:26:38,"37
                                       "
2021-01-05 星期二 ,-2℃,-11℃,晴,西北风 ,3级,9:27:32,"28
                                       "
2021-01-06 星期三 ,0℃,-19℃,多云,西北风 ,4级,9:28:31,"61
                                       "
2021-01-07 星期四 ,-7℃,-14℃,晴,西北风 ,3级,9:29:33,"27
                                       "
2021-01-08 星期五 ,-2℃,-10℃,晴,西北风 ,3级,9:30:39,"28
                                       "
2021-01-09 星期六 ,1℃,-8℃,晴,西北风 ,2级,9:31:48,"34
                                       "
2021-01-10 星期日 ,1℃,-7℃,多云,北风 ,2级,9:33:00,"25
                                       "
2021-01-11 星期一 ,2℃,-8℃,多云,西北风 ,2级,9:34:16,"49
                                       "
2021-01-12 星期二 ,4℃,-6℃,晴,北风 ,1级,9:35:34,"97
                                       "
2021-01-13 星期三 ,9℃,-6℃,晴,北风 ,2级,9:36:56,"142
                                       "
2021-01-14 星期四 ,2℃,-4℃,阴,东北风 ,2级,9:38:21,"82
                                       "
2021-01-15 星期五 ,3℃,-8℃,晴,北风 ,3级,9:39:48,"99
                                       "
2021-01-16 星期六 ,0℃,-8℃,晴,西北风 ,3级,9:41:19,"30
                                       "
2021-01-17 星期日 ,3℃,-7℃,晴,西风 ,2级,9:42:53,"50
                                       "
2021-01-18 星期一 ,4℃,-6℃,晴,东北风 ,2级,9:44:29,"55
                                       "
2021-01-19 星期二 ,-3℃,-8℃,阴,东北风 ,2级,9:46:08,"46
                                       "
2021-01-20 星期三 ,1℃,-5℃,晴,北风 ,1级,9:47:50,"71
                                       "
2021-01-21 星期四 ,5℃,-5℃,阴,西北风 ,1级,9:49:34,"103
                                       "
2021-01-22 星期五 ,5℃,-7℃,晴,东北风 ,1级,9:51:21,"112
                                       "
2021-01-23 星期六 ,3℃,-6℃,多云,西南风 ,1级,9:53:10,"115
                                       "
2021-01-24 星期日 ,5℃,-5℃,晴,北风 ,1级,9:55:01,"137
                                       "
2021-01-25 星期一 ,1℃,-6℃,雨夹雪,西北风 ,1级,9:56:55,"175
                                       "
2021-01-26 星期二 ,6℃,-7℃,阴,西北风 ,2级,9:58:51,"110
                                       "
2021-01-27 星期三 ,3℃,-6℃,阴,北风 ,2级,10:00:48,"54
                                       "
2021-01-28 星期四 ,-1℃,-9℃,晴,西北风 ,4级,10:02:48,"44
                                       "
2021-01-29 星期五 ,0℃,-8℃,晴,东风 ,1级,10:04:50,"47
                                       "
2021-01-30 星期六 ,7℃,-7℃,晴,西风 ,3级,10:06:54,"68
                                       "
2021-01-31 星期日 ,0℃,-5℃,多云,东北风 ,1级,10:09:00,"87
                                       "
2021-02-01 星期一 ,3℃,-8℃,晴,西北风 ,3级,10:11:08,"48
                                       "
2021-02-02 星期二 ,0℃,-9℃,晴,西风 ,3级,10:13:17,"36
                                       "
2021-02-03 星期三 ,7℃,-6℃,晴,西北风 ,3级,10:15:28,"47
                                       "
2021-02-04 星期四 ,10℃,-5℃,晴,西南风 ,2级,10:17:40,"54
                                       "
2021-02-05 星期五 ,15℃,-1℃,晴,西北风 ,1级,10:19:54,"65
                                       "
2021-02-06 星期六 ,16℃,-1℃,多云,北风 ,2级,10:22:10,"81
                                       "
2021-02-07 星期日 ,7℃,-4℃,晴,北风 ,2级,10:24:26,"46
                                       "
2021-02-08 星期一 ,8℃,-5℃,晴,东南风 ,1级,10:26:44,"43
                                       "
2021-02-09 星期二 ,10℃,-3℃,晴,西北风 ,1级,10:29:04,"84
                                       "
2021-02-10 星期三 ,15℃,-3℃,晴,北风 ,1级,10:31:24,"99
                                       "
2021-02-11 星期四 ,10℃,0℃,霾,北风 ,1级,10:33:46,"204
                                       "
2021-02-12 星期五 ,14℃,1℃,霾,北风 ,2级,10:36:09,"249
                                       "
2021-02-13 星期六 ,8℃,2℃,霾,东北风 ,1级,10:38:33,"255
                                       "
2021-02-14 星期日 ,4℃,-4℃,晴,东北风 ,2级,10:40:58,"141
                                       "
2021-02-15 星期一 ,5℃,-2℃,晴,西风 ,3级,10:43:25,"33
                                       "
2021-02-16 星期二 ,0℃,-6℃,晴,北风 ,4级,10:45:52,"32
                                       "
