日期,最高气温,最低气温,天气,风向,风力,url
2021-01-01 星期五 ,0℃,-11℃,晴,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-02 星期六 ,0℃,-9℃,晴,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-03 星期日 ,0℃,-7℃,多云,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-04 星期一 ,-1℃,-11℃,晴,北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-05 星期二 ,-2℃,-11℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-06 星期三 ,0℃,-19℃,多云,西北风 ,4级,https://lishi.tianqi.com/beijing/202101.html
2021-01-07 星期四 ,-7℃,-14℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-08 星期五 ,-2℃,-10℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-09 星期六 ,1℃,-8℃,晴,西北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-10 星期日 ,1℃,-7℃,多云,北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-11 星期一 ,2℃,-8℃,多云,西北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-12 星期二 ,4℃,-6℃,晴,北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-13 星期三 ,9℃,-6℃,晴,北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-14 星期四 ,2℃,-4℃,阴,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-15 星期五 ,3℃,-8℃,晴,北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-16 星期六 ,0℃,-8℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-17 星期日 ,3℃,-7℃,晴,西风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-18 星期一 ,4℃,-6℃,晴,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-19 星期二 ,-3℃,-8℃,阴,东北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-20 星期三 ,1℃,-5℃,晴,北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-21 星期四 ,5℃,-5℃,阴,西北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-22 星期五 ,5℃,-7℃,晴,东北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-23 星期六 ,3℃,-6℃,多云,西南风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-24 星期日 ,5℃,-5℃,晴,北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-25 星期一 ,1℃,-6℃,雨夹雪,西北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-26 星期二 ,6℃,-7℃,阴,西北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-27 星期三 ,3℃,-6℃,阴,北风 ,2级,https://lishi.tianqi.com/beijing/202101.html
2021-01-28 星期四 ,-1℃,-9℃,晴,西北风 ,4级,https://lishi.tianqi.com/beijing/202101.html
2021-01-29 星期五 ,0℃,-8℃,晴,东风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-01-30 星期六 ,7℃,-7℃,晴,西风 ,3级,https://lishi.tianqi.com/beijing/202101.html
2021-01-31 星期日 ,0℃,-5℃,多云,东北风 ,1级,https://lishi.tianqi.com/beijing/202101.html
2021-02-01 星期一 ,3℃,-8℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-02 星期二 ,0℃,-9℃,晴,西风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-03 星期三 ,7℃,-6℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-04 星期四 ,10℃,-5℃,晴,西南风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-05 星期五 ,15℃,-1℃,晴,西北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-06 星期六 ,16℃,-1℃,多云,北风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-07 星期日 ,7℃,-4℃,晴,北风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-08 星期一 ,8℃,-5℃,晴,东南风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-09 星期二 ,10℃,-3℃,晴,西北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-10 星期三 ,15℃,-3℃,晴,北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-11 星期四 ,10℃,0℃,霾,北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-12 星期五 ,14℃,1℃,霾,北风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-13 星期六 ,8℃,2℃,霾,东北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-14 星期日 ,4℃,-4℃,晴,东北风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-15 星期一 ,5℃,-2℃,晴,西风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-16 星期二 ,0℃,-6℃,晴,北风 ,4级,https://lishi.tianqi.com/beijing/202102.html
2021-02-17 星期三 ,2℃,-6℃,晴,北风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-18 星期四 ,6℃,-4℃,晴,北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-19 星期五 ,16℃,-2℃,晴,西北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-20 星期六 ,20℃,4℃,多云,西北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-21 星期日 ,25℃,4℃,晴,西北风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-22 星期一 ,12℃,1℃,多云,东北风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-23 星期二 ,3℃,-2℃,阴,东南风 ,3级,https://lishi.tianqi.com/beijing/202102.html
2021-02-24 星期三 ,4℃,-2℃,多云,东风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-25 星期四 ,7℃,-2℃,晴,东北风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-26 星期五 ,11℃,-2℃,晴,南风 ,1级,https://lishi.tianqi.com/beijing/202102.html
2021-02-27 星期六 ,11℃,2℃,阴,南风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-02-28 星期日 ,5℃,1℃,小雪,东风 ,2级,https://lishi.tianqi.com/beijing/202102.html
2021-03-01 星期一 ,5℃,-6℃,小雪,南风 ,2级,https://lishi.tianqi.com/beijing/202103.html
2021-03-02 星期二 ,4℃,-2℃,多云,南风 ,2级,https://lishi.tianqi.com/beijing/202103.html
2021-03-03 星期三 ,6℃,2℃,多云,东北风 ,1级,https://lishi.tianqi.com/beijing/202103.html
2021-03-04 星期四 ,11℃,2℃,阴,东北风 ,1级,https://lishi.tianqi.com/beijing/202103.html
2021-03-05 星期五 ,9℃,-2℃,雾,东风 ,3级,https://lishi.tianqi.com/beijing/202103.html
2021-03-06 星期六 ,4℃,-5℃,阴,南风 ,2级,https://lishi.tianqi.com/beijing/202103.html
2021-03-07 星期日 ,8℃,-2℃,多云,南风 ,2级,https://lishi.tianqi.com/beijing/202103.html
2021-03-08 星期一 ,10℃,1℃,多云,南风 ,1级,https://lishi.tianqi.com/beijing/202103.html
